arm,iter,awaited_round_trips,modeled_tick_ms
baseline,0,8.0,16.0
baseline,1,8.0,16.0
baseline,2,8.0,16.0
baseline,3,8.0,16.0
baseline,4,8.0,16.0
baseline,5,8.0,16.0
baseline,6,8.0,16.0
baseline,7,8.0,16.0
baseline,8,8.0,16.0
baseline,9,8.0,16.0
baseline,10,8.0,16.0
baseline,11,8.0,16.0
baseline,12,8.0,16.0
baseline,13,8.0,16.0
baseline,14,8.0,16.0
baseline,15,8.0,16.0
baseline,16,8.0,16.0
baseline,17,8.0,16.0
baseline,18,8.0,16.0
baseline,19,8.0,16.0
baseline,20,8.0,16.0
baseline,21,8.0,16.0
baseline,22,8.0,16.0
baseline,23,8.0,16.0
baseline,24,8.0,16.0
baseline,25,8.0,16.0
baseline,26,8.0,16.0
baseline,27,8.0,16.0
baseline,28,8.0,16.0
baseline,29,8.0,16.0
baseline,30,8.0,16.0
baseline,31,8.0,16.0
baseline,32,8.0,16.0
baseline,33,8.0,16.0
baseline,34,8.0,16.0
baseline,35,8.0,16.0
baseline,36,8.0,16.0
baseline,37,8.0,16.0
baseline,38,8.0,16.0
baseline,39,8.0,16.0
baseline,40,8.0,16.0
baseline,41,8.0,16.0
baseline,42,8.0,16.0
baseline,43,8.0,16.0
baseline,44,8.0,16.0
baseline,45,8.0,16.0
baseline,46,8.0,16.0
baseline,47,8.0,16.0
baseline,48,8.0,16.0
baseline,49,8.0,16.0
treatment,0,1.0,2.0
treatment,1,1.0,2.0
treatment,2,1.0,2.0
treatment,3,1.0,2.0
treatment,4,1.0,2.0
treatment,5,1.0,2.0
treatment,6,1.0,2.0
treatment,7,1.0,2.0
treatment,8,1.0,2.0
treatment,9,1.0,2.0
treatment,10,1.0,2.0
treatment,11,1.0,2.0
treatment,12,1.0,2.0
treatment,13,1.0,2.0
treatment,14,1.0,2.0
treatment,15,1.0,2.0
treatment,16,1.0,2.0
treatment,17,1.0,2.0
treatment,18,1.0,2.0
treatment,19,1.0,2.0
treatment,20,1.0,2.0
treatment,21,1.0,2.0
treatment,22,1.0,2.0
treatment,23,1.0,2.0
treatment,24,1.0,2.0
treatment,25,1.0,2.0
treatment,26,1.0,2.0
treatment,27,1.0,2.0
treatment,28,1.0,2.0
treatment,29,1.0,2.0
treatment,30,1.0,2.0
treatment,31,1.0,2.0
treatment,32,1.0,2.0
treatment,33,1.0,2.0
treatment,34,1.0,2.0
treatment,35,1.0,2.0
treatment,36,1.0,2.0
treatment,37,1.0,2.0
treatment,38,1.0,2.0
treatment,39,1.0,2.0
treatment,40,1.0,2.0
treatment,41,1.0,2.0
treatment,42,1.0,2.0
treatment,43,1.0,2.0
treatment,44,1.0,2.0
treatment,45,1.0,2.0
treatment,46,1.0,2.0
treatment,47,1.0,2.0
treatment,48,1.0,2.0
treatment,49,1.0,2.0
