arm,iter,embedding_round_trips,modeled_window_ms
baseline,0,20.0,160.0
baseline,1,20.0,160.0
baseline,2,20.0,160.0
baseline,3,20.0,160.0
baseline,4,20.0,160.0
baseline,5,20.0,160.0
baseline,6,20.0,160.0
baseline,7,20.0,160.0
baseline,8,20.0,160.0
baseline,9,20.0,160.0
baseline,10,20.0,160.0
baseline,11,20.0,160.0
baseline,12,20.0,160.0
baseline,13,20.0,160.0
baseline,14,20.0,160.0
baseline,15,20.0,160.0
baseline,16,20.0,160.0
baseline,17,20.0,160.0
baseline,18,20.0,160.0
baseline,19,20.0,160.0
baseline,20,20.0,160.0
baseline,21,20.0,160.0
baseline,22,20.0,160.0
baseline,23,20.0,160.0
baseline,24,20.0,160.0
baseline,25,20.0,160.0
baseline,26,20.0,160.0
baseline,27,20.0,160.0
baseline,28,20.0,160.0
baseline,29,20.0,160.0
baseline,30,20.0,160.0
baseline,31,20.0,160.0
baseline,32,20.0,160.0
baseline,33,20.0,160.0
baseline,34,20.0,160.0
baseline,35,20.0,160.0
baseline,36,20.0,160.0
baseline,37,20.0,160.0
baseline,38,20.0,160.0
baseline,39,20.0,160.0
baseline,40,20.0,160.0
baseline,41,20.0,160.0
baseline,42,20.0,160.0
baseline,43,20.0,160.0
baseline,44,20.0,160.0
baseline,45,20.0,160.0
baseline,46,20.0,160.0
baseline,47,20.0,160.0
baseline,48,20.0,160.0
baseline,49,20.0,160.0
treatment,0,5.0,40.0
treatment,1,5.0,40.0
treatment,2,5.0,40.0
treatment,3,5.0,40.0
treatment,4,5.0,40.0
treatment,5,5.0,40.0
treatment,6,5.0,40.0
treatment,7,5.0,40.0
treatment,8,5.0,40.0
treatment,9,5.0,40.0
treatment,10,5.0,40.0
treatment,11,5.0,40.0
treatment,12,5.0,40.0
treatment,13,5.0,40.0
treatment,14,5.0,40.0
treatment,15,5.0,40.0
treatment,16,5.0,40.0
treatment,17,5.0,40.0
treatment,18,5.0,40.0
treatment,19,5.0,40.0
treatment,20,5.0,40.0
treatment,21,5.0,40.0
treatment,22,5.0,40.0
treatment,23,5.0,40.0
treatment,24,5.0,40.0
treatment,25,5.0,40.0
treatment,26,5.0,40.0
treatment,27,5.0,40.0
treatment,28,5.0,40.0
treatment,29,5.0,40.0
treatment,30,5.0,40.0
treatment,31,5.0,40.0
treatment,32,5.0,40.0
treatment,33,5.0,40.0
treatment,34,5.0,40.0
treatment,35,5.0,40.0
treatment,36,5.0,40.0
treatment,37,5.0,40.0
treatment,38,5.0,40.0
treatment,39,5.0,40.0
treatment,40,5.0,40.0
treatment,41,5.0,40.0
treatment,42,5.0,40.0
treatment,43,5.0,40.0
treatment,44,5.0,40.0
treatment,45,5.0,40.0
treatment,46,5.0,40.0
treatment,47,5.0,40.0
treatment,48,5.0,40.0
treatment,49,5.0,40.0
