model,metric,n,mean,ci95Half
llama3.1:8b,winRate,5,1.0,
llama3.1:8b,timeToGoalSeconds,5,945.28,329.16944146533166
llama3.1:8b,gatherEfficiency,5,1.1443315086800367,0.8234486241707818
llama3.1:8b,wasteRatio,5,0.602331670231716,0.19783933284243846
llama3.1:8b,tokensUsed,5,454226.8,149529.21149890605
llama3.1:8b,latencyMsP50,5,1678.0665247277375,105.8917884358398
gemma4:latest,winRate,5,1.0,
gemma4:latest,timeToGoalSeconds,5,1001.26,605.7970966326411
gemma4:latest,gatherEfficiency,5,0.621972873157499,0.5571800150261075
gemma4:latest,wasteRatio,5,0.7446403391037022,0.10061755060999472
gemma4:latest,tokensUsed,5,548793.2,344062.6993368357
gemma4:latest,latencyMsP50,5,8528.63237927746,500.6992706716025
gemma3:12b,winRate,5,0.8,
gemma3:12b,timeToGoalSeconds,4,650.875,150.72922598492914
gemma3:12b,gatherEfficiency,5,0.5284900112555275,0.24022757359500124
gemma3:12b,wasteRatio,5,0.7627574615713111,0.07914948506629994
gemma3:12b,tokensUsed,5,772969.2,1253815.0770307642
gemma3:12b,latencyMsP50,5,3596.454379616075,142.40684681270506
qwen3.5:4b,winRate,5,0.2,
qwen3.5:4b,timeToGoalSeconds,1,4225.4,nan
qwen3.5:4b,gatherEfficiency,5,0.26105706357562136,0.46024824253294794
qwen3.5:4b,wasteRatio,5,0.6028264468497053,0.07769445286739972
qwen3.5:4b,tokensUsed,5,2460691.4,362739.4687766083
qwen3.5:4b,latencyMsP50,5,1575.386230986565,23.673080118133605
lfm2.5:latest,winRate,5,0.0,
lfm2.5:latest,timeToGoalSeconds,0,nan,nan
lfm2.5:latest,gatherEfficiency,5,0.14034725574855098,0.22422281313112216
lfm2.5:latest,wasteRatio,5,0.38455780745697565,0.11698841965717065
lfm2.5:latest,tokensUsed,5,1392557.4,76920.59990096086
lfm2.5:latest,latencyMsP50,5,23646.959286304627,2537.4786106784927
